,chemical_formula_descriptive
0,AgAlAu2Li2Mg2
1,AgAlCdHo3Mg3
2,AgAlCuMg3Y3
3,AgAlGaHo3Mg3
4,AgAlHgHo3Mg3
5,AgAlHo3InMg3
6,AgAlHo3IrMg3
7,AgAlHo3Mg3Pd
8,AgAlHo3Mg3Pt
9,AgAlHo3Mg3Tl
10,AgAlHo3Mg3Zn
11,AgAl2AuLi2Mg2
12,AgAl2AuLi2Sc2
13,AgAl2Au2Li2Mg
14,AgAl2Au2Li2Sc
15,AgAl2Au2Li2Y
16,AgAl2CuLi2Mg2
17,AgAl2CuLi2Sc2
18,AgAl2IrLi2Mg2
19,AgAl2Li2Mg2Pd
20,AgAl2Li2Mg2Pt
21,AgAl2Li2PdSc2
22,AgAl2Li2PtSc2
23,AgAuCd2Mg2Sc2
24,AgAuCd3La3Pd
25,AgAuCd3La3Rh
26,AgAu2CdIn2Y3
27,AgAu2CdLi2Mg2
28,AgAu2CdMg2Sc2
29,AgAu2CdMg2Y3
30,AgAu2Cd2HgSc2
31,AgAu2Cd2HgY2
32,AgAu2Cd2InY3
33,AgAu2Cd2MgSc2
34,AgAu2Cd2MgY3
35,AgAu2Cd3DyEr2
36,AgAu2Cd3DyGd2
37,AgAu2Cd3DyHo2
38,AgAu2Cd3DyLa2
39,AgAu2Cd3DyNd2
40,AgAu2Cd3DyPr2
41,AgAu2Cd3DyTb2
42,AgAu2Cd3DyY2
43,AgAu2Cd3Dy2Er
44,AgAu2Cd3Dy2Gd
45,AgAu2Cd3Dy2Ho
46,AgAu2Cd3Dy2La
47,AgAu2Cd3Dy2Nd
48,AgAu2Cd3Dy2Pr
49,AgAu2Cd3Dy2Tb
50,AgAu2Cd3Dy2Y
51,AgAu2Cd3ErGd2
52,AgAu2Cd3ErHo2
53,AgAu2Cd3ErLa2
54,AgAu2Cd3ErNd2
55,AgAu2Cd3ErPr2
56,AgAu2Cd3ErTb2
57,AgAu2Cd3ErY2
58,AgAu2Cd3Er2Gd
59,AgAu2Cd3Er2Ho
60,AgAu2Cd3Er2La
61,AgAu2Cd3Er2Nd
62,AgAu2Cd3Er2Pr
63,AgAu2Cd3Er2Tb
64,AgAu2Cd3Er2Y
65,AgAu2Cd3GdHo2
66,AgAu2Cd3GdLa2
67,AgAu2Cd3GdNd2
68,AgAu2Cd3GdPr2
69,AgAu2Cd3GdTb2
70,AgAu2Cd3GdY2
71,AgAu2Cd3Gd2Ho
72,AgAu2Cd3Gd2La
73,AgAu2Cd3Gd2Nd
74,AgAu2Cd3Gd2Pr
75,AgAu2Cd3Gd2Tb
76,AgAu2Cd3Gd2Y
77,AgAu2Cd3HoLa2
78,AgAu2Cd3HoNd2
79,AgAu2Cd3HoPr2
80,AgAu2Cd3HoTb2
81,AgAu2Cd3HoY2
82,AgAu2Cd3Ho2La
